지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 종로구 관수동 20 국일관드림펠리스,"서울특별시 종로구 수표로 96, 국일관드림펠리스 10층 (관수동)",어메이징휘트니스 헬스&PT 종로점,199045.043602772    ,451939.677286976    ,체력단련장업
서울특별시 종로구 내수동 75 용비어천가,"서울특별시 종로구 새문안로3길 36, B1층 (내수동, 용비어천가)",IN:PT,197567.747824202    ,452347.973860449    ,체력단련장업
서울특별시 종로구 사직동 9 광화문 스페이스본,"서울특별시 종로구 사직로8길 4, 제301동 제지하1층 제비103호 (사직동, 광화문 스페이스본)",PAUL GYM,197181.393301659    ,452458.826651573    ,체력단련장업
서울특별시 종로구 공평동 17 센트로폴리스,"서울특별시 종로구 우정국로 26, 센트로폴리스 B동 지하2층 (공평동)",센트로폴리스 웰니스센터,198493.358663851    ,452139.024770523    ,체력단련장업
서울특별시 종로구 내수동 167 대우빌딩,"서울특별시 종로구 새문안로3길 30, 대우빌딩 지하1층 114-1,2,3호 (내수동)",프로젝트 런 광화문,197567.93800572     ,452276.454633376    ,체력단련장업
서울특별시 종로구 견지동 110 종로1가 대성 스카이렉스,"서울특별시 종로구 삼봉로 95, 종로1가 대성 스카이렉스 405-1호 (견지동)",케이핏 PT 필라테스 광화문점,198386.829870878    ,452237.303784872    ,체력단련장업
서울특별시 종로구 청진동 136 삼공빌딩,"서울특별시 종로구 종로5길 13, 삼공빌딩 2층 (청진동)",턴온피트니스 PT 광화문점,198207.279003982    ,452082.344195698    ,체력단련장업
서울특별시 종로구 창신동 292 원풍빌딩,"서울특별시 종로구 종로 335, 원풍빌딩 7층 (창신동)",휘트니스피플 우먼 동묘앞역점,201238.696068454    ,452317.86559669     ,체력단련장업
서울특별시 중구 남창동 168-7,,삼일,197951.529011969    ,450599.807638881    ,체력단련장업
서울특별시 중구 인현동1가 46-3,,매일온천,199402.469073595    ,451497.234574572    ,체력단련장업
서울특별시 중구 장충동2가 산 5-5,,(주)타워호텔,200193.232424569    ,449809.744684888    ,체력단련장업
서울특별시 중구 광희동1가 142 현대빌딩 5층동,,경성헬스클럽,200498.497456559    ,451494.706799835    ,체력단련장업
서울특별시 중구 황학동 717,,신당헬스클럽,201724.04001526     ,451533.911551915    ,체력단련장업
서울특별시 성동구 옥수동 563,"서울특별시 성동구 매봉길 48, 지하2층 201~204, 206,207호 (옥수동)",해빗피트니스 옥수점,201174.525137191    ,449381.829890148    ,체력단련장업
서울특별시 성동구 옥수동 284-14 동호빌딩,"서울특별시 성동구 독서당로 212, 동호빌딩 (옥수동)",율 메디컬 트레이닝 센터,201202.208263001    ,449016.791086853    ,체력단련장업
