지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),점포구분명
서울특별시 송파구 잠실4동 44번지 1호,서울특별시 송파구 석촌호수로 133 (잠실동),홈플러스(주)익스프레스 잠실점,208045.233042977    ,445054.410833743    ,준대규모점포
,서울특별시 송파구 가락로28길 7 (송파동),홈플러스(주) 익스프레스 송파점,210252.90673883     ,444914.307440685    ,준대규모점포
서울특별시 송파구 풍납동 163번지,서울특별시 송파구  올림픽로51길  52 (풍납동),홈플러스(주)익스프레스 풍납점,210378.825036871    ,447916.043934269    ,준대규모점포
서울특별시 송파구 신천동 29번지,서울특별시 송파구 올림픽로 300 (신천동),롯데월드몰,209074.900840074    ,445657.80932984     ,대규모점포
서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)",롯데백화점 에비뉴엘 월드타워점,209074.900840074    ,445657.80932984     ,대규모점포
서울특별시 노원구 상계동 713호,서울특별시 노원구 동일로 1414 (상계동),롯데백화점 노원점,205320.28476675     ,461419.881795004    ,대규모점포
서울특별시 노원구 상계동 292번지 1호,서울특별시 노원구 노해로 507 (상계동),와우패션클럽,205557.013355638    ,461441.687971047    ,대규모점포
서울특별시 동대문구 장안동 94번지 27호 외1필지 예신프라자,서울특별시 동대문구 한천로46길 42 (장안동),롯데쇼핑(주) 롯데슈퍼 장안점,206176.178625746    ,453248.09724644     ,준대규모점포
서울특별시 동대문구 답십리1동 530번지 11호  외1필지 지층1호~13호,서울특별시 동대문구 고미술로 49 (답십리동),이마트에브리데이 답십리점,204638.486386691    ,451699.765836365    ,준대규모점포
서울특별시 동대문구 장안동 580번지,서울특별시 동대문구 한천로 42 (장안동),노브랜드 동대문 장안점,205423.969491537    ,451556.210578255    ,준대규모점포
서울특별시 동대문구 회기동 346번지 18호,서울특별시 동대문구  이문로  37 (회기동),베라체캠퍼스 에비뉴,204881.313219146    ,454280.040555974    ,대규모점포
서울특별시 동대문구 신설동 109번지 5호,서울특별시 동대문구 천호대로4길 21 (신설동),서울풍물시장,202186.468072494    ,452282.607415166    ,대규모점포
서울특별시 동대문구 이문동 292번지 10호,서울특별시 동대문구 이문로 136 (이문동),이문동웰츠타워,205396.363734301    ,455131.683241064    ,대규모점포
서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)",롯데쇼핑(주) 롯데마트 월드타워점,209074.900840074    ,445657.80932984     ,대규모점포
