지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 동대문구 장안동 355-1,"서울특별시 동대문구 장한로18길 88, 1층 (장안동)",명품세탁,206453.980260918    ,451744.383087562    
서울특별시 동대문구 휘경동 106 미소지움(아)상가 (201호),"서울특별시 동대문구 망우로 105 (휘경동,미소지움(아)상가 (201호))",신성세탁,205656.734023776    ,454366.301642229    
서울특별시 동대문구 답십리동 483-42,"서울특별시 동대문구 천호대로67길 34, 1층 (답십리동)",승리컴퓨터세탁소,204470.759526457    ,451981.30775229     
서울특별시 동대문구 장안동 398-2,"서울특별시 동대문구 한천로14길 39, 1층 (장안동)",신발세탁전문점,205666.140010342    ,451645.69759693     
"서울특별시 동대문구 답십리동 990 두산아파트상가동1층112,113호","서울특별시 동대문구 답십리로56길 21, 1층 112,113호 (답십리동, 두산아파트상가동)",두산세탁,205247.577383779    ,451893.093734117    
서울특별시 동대문구 장안동 329-2 장안힐스테이트 상가 119호,"서울특별시 동대문구 장안벚꽃로1길 7, 119호 (장안동, 장안힐스테이트 상가)",현대힐스테이트세탁,206586.572428103    ,452632.62891295     
서울특별시 성북구 장위동 316-4 203호,"서울특별시 성북구 한천로101길 36 (장위동,203호)",에스에이치빌세탁,204242.165348752    ,457803.264646008    
서울특별시 성북구 종암동 130-2 아이파트종암동 상가2동 201호,"서울특별시 성북구 종암로27길 26, 상가2동 201호 (종암동,아이파트종암동)",현대세탁소,202656.876552566    ,455605.031259728    
서울특별시 성북구 돈암동 15-1 삼성아파트 B상가동 212호,"서울특별시 성북구 동소문로34길 24, B상가동 212호 (돈암동,삼성아파트)",삼성세탁소,201989.271689499    ,455190.095862939    
서울특별시 성북구 동소문동4가 243 (지상1층),"서울특별시 성북구 동소문로13가길 10 (동소문동4가,(지상1층))",행복세탁소,201021.779651548    ,454419.270330215    
서울특별시 성북구 종암동 65-17 (지상1층),"서울특별시 성북구 종암로19길 42 (종암동,(지상1층))",화이트크리닝,202794.049168566    ,455083.243853707    
서울특별시 성북구 종암동 80-3 삼성래미안아파트 상가동 105호,"서울특별시 성북구 종암로27길 37, 상가동 105호 (종암동,삼성래미안아파트)",삼성명품세탁,202637.536723851    ,455541.762779395    
서울특별시 성북구 장위동 231-297,서울특별시 성북구 장위로4길 80 (장위동),나래세탁,203590.073343424    ,456621.454906399    
서울특별시 성북구 정릉동 1020 정릉우성아파트 1상가 302호,"서울특별시 성북구 정릉로38마길 29 (정릉동, 정릉우성아파트 1상가 302호 )",우성세탁소,201327.418241891    ,455410.800040067    
서울특별시 성북구 돈암동 636 브라운스톤 돈암아파트 상가동 108호,"서울특별시 성북구 북악산로 844 (돈암동, 브라운스톤 돈암아파트 상가동 108호)",이수세탁,201501.474496909    ,455061.698603977    
서울특별시 성북구 길음동 1280-6 길음푸르지오상가 309호(3층),"서울특별시 성북구 길음로 103 (길음동,길음푸르지오상가 309호(3층))",푸르지오 항균세탁,201517.385329678    ,456504.561867278    
서울특별시 성북구 안암동1가 361-1 래미안안암 상가 301호,"서울특별시 성북구 고려대로17가길 78, 래미안안암 상가 301호 (안암동1가)",래미안세탁소,201928.638268377    ,454094.584211807    
서울특별시 성북구 길음동 1286 길음뉴타운,"서울특별시 성북구 길음로9길 50, 상가동 지1층 123호 (길음동, 길음뉴타운)",래미안명품세탁소,201648.204071174    ,455717.855906877    
서울특별시 성북구 길음동 1285-7 104호,"서울특별시 성북구 길음로13길 24, 104호 (길음동)",대우세탁소,201621.331749529    ,456272.261670237    
서울특별시 성북구 석관동 405 코오롱아파트,"서울특별시 성북구 한천로 509, 상가동 1층 106호 (석관동, 코오롱아파트)",하늘채세탁소,205733.885475417    ,455994.676076271    
서울특별시 성북구 보문동6가 92,"서울특별시 성북구 보문로13다길 29-2, 1층 (보문동6가)",명품사세탁,201674.50136643     ,453201.399559715    
서울특별시 성북구 하월곡동 71-50,서울특별시 성북구 오패산로5길 9-12 (하월곡동),크린에이드강북지사,203146.505836327    ,455833.017569161    
서울특별시 성북구 동선동2가 142-7,서울특별시 성북구 보문로32길 73 (동선동2가),도래사,201718.571608059    ,454251.579655749    
서울특별시 성북구 안암동2가 120-10,서울특별시 성북구 고려대로11길 6 (안암동2가),유일,201875.25160052     ,453806.095805673    
서울특별시 성북구 정릉동 771-46,서울특별시 성북구 보국문로 157 (정릉동),유성,200266.890848324    ,457129.764114161    
서울특별시 성북구 보문동7가 43-0,서울특별시 성북구 보문로13가길 11 (보문동7가),삼우,201802.092829395    ,453141.559698754    
서울특별시 성북구 정릉동 820-4,서울특별시 성북구 보국문로 195 (정릉동),성보,199887.379548552    ,457243.643633058    
서울특별시 성북구 종암동 45-33,서울특별시 성북구 종암로15길 7 (종암동),형제,202980.108408175    ,455025.651698497    
서울특별시 성북구 하월곡동 82-33,서울특별시 성북구 오패산로17길 29-21 (하월곡동),영재,203011.224461243    ,456100.458888168    
서울특별시 성북구 상월곡동 24-175,서울특별시 성북구 화랑로18길 46 (상월곡동),서울세탁소,204359.76691268     ,455919.06663905     
서울특별시 성북구 종암동 53-24,서울특별시 성북구 종암로19길 51-3 (종암동),삼양,202767.690792666    ,455050.359960699    
서울특별시 동대문구 휘경동 57-3 주공아파트상가 1층 106호,"서울특별시 동대문구 한천로 250 (휘경동,주공아파트상가 1층 106호)",주공세탁,205993.270656311    ,453432.369638822    
서울특별시 성북구 종암동 3-551,서울특별시 성북구 종암로27길 25 (종암동),중앙사,202685.732670872    ,455582.577343733    
서울특별시 성북구 하월곡동 80-40,서울특별시 성북구 월계로10길 15 (하월곡동),경남사,202973.158408141    ,456439.052073337    
서울특별시 성북구 하월곡동 70-116,서울특별시 성북구 오패산로 29-24 (하월곡동),백양사,203181.768953963    ,455838.375605082    
서울특별시 성북구 장위동 233-429,서울특별시 성북구 장월로23길 15-3 (장위동),백양,204143.344581036    ,457111.656659638    
서울특별시 성북구 장위동 230-86,서울특별시 성북구 장위로15길 34-2 (장위동),국제사,203661.200250551    ,457020.818415737    
서울특별시 성북구 장위동 231-379,서울특별시 성북구 장위로16길 5 (장위동),부흥,203603.451385143    ,456846.344231295    
서울특별시 성북구 석관동 338-376,서울특별시 성북구 화랑로22가길 42 (석관동),제일,204600.387461711    ,456118.613862255    
서울특별시 성북구 장위동 246-133,서울특별시 성북구 장월로5길 70 (장위동),삼성사,204158.707745948    ,456523.510045996    
서울특별시 성북구 석관동 127-59 1층,"서울특별시 성북구 한천로78길 13, 1층 (석관동)",제일사,205518.617965935    ,456580.110228604    
서울특별시 성북구 정릉동 16-319,서울특별시 성북구 정릉로36길 41 (정릉동),백마,201377.263344413    ,455544.815030359    
서울특별시 성북구 길음동 1283-4 113호,"서울특별시 성북구 길음로 20 (길음동,113호)",뉴타운세탁소,201964.531844396    ,455825.760930114    
서울특별시 성북구 보문동2가 85,서울특별시 성북구 지봉로23길 6 (보문동2가),백왕,201587.937044445    ,453687.589479542    
서울특별시 성북구 성북동 63-9,서울특별시 성북구 선잠로 8 (성북동),현대사,199870.752714322    ,454632.144110667    
서울특별시 성북구 동소문동5가 119-3,서울특별시 성북구 보문로38길 35-1 (동소문동5가),진양,201327.158537568    ,454319.163060694    
서울특별시 성북구 정릉동 406-1 대우푸르지오아파트 상가동 2층호,"서울특별시 성북구 보국문로 19, 상가동 2층호 (정릉동,대우푸르지오아파트)",푸르지오세탁,200881.294561847    ,455987.163878596    
서울특별시 성북구 돈암동 1 돈암현대아파트,"서울특별시 성북구 정릉로 404, 상가동 201호 (돈암동, 돈암현대아파트)",백양사,202241.837696796    ,455655.068580394    
서울특별시 성북구 돈암동 83-2,서울특별시 성북구 동소문로26가길 50-1 (돈암동),미성사,201869.430406542    ,454718.311811222    
서울특별시 성북구 보문동2가 218-0,서울특별시 성북구 지봉로24길 18 (보문동2가),백양사,201631.043196092    ,453538.562696287    
서울특별시 성북구 종암동 41-20,서울특별시 성북구 종암로9길 38 (종암동),영신사,202891.693656426    ,454864.208008066    
서울특별시 성북구 석관동 332-106,서울특별시 성북구 돌곶이로15길 22 (석관동),선경사,205087.961396631    ,456170.710808703    
서울특별시 성북구 석관동 337-19,서울특별시 성북구 돌곶이로23길 23 (석관동),신광사,204915.970156523    ,456379.176905359    
서울특별시 성북구 장위동 233-261,서울특별시 성북구 장위로 66 (장위동),태양사,203816.193927487    ,456829.163290284    
서울특별시 성북구 동소문동5가 119-11,서울특별시 성북구 보문로38길 31-1 (동소문동5가),매직크리닝,201310.695454044    ,454323.899488267    
서울특별시 성북구 정릉동 716-124,서울특별시 성북구 솔샘로 30-1 (정릉동),은성사,200399.941784961    ,456440.72327545     
서울특별시 성북구 종암동 133 삼성래미안 상가동 108호,"서울특별시 성북구 종암로23길 35, 상가동 108호 (종암동,삼성래미안)",삼성부광세탁소,202672.454331248    ,455214.336582624    
서울특별시 성북구 석관동 332-357,서울특별시 성북구 돌곶이로7길 19 (석관동),럭키세탁소,205276.216698104    ,455942.91489682     
서울특별시 성북구 석관동 176-13,서울특별시 성북구 화랑로40길 22 (석관동),승리,205468.686737855    ,456759.120782022    
서울특별시 성북구 장위동 68-1087,서울특별시 성북구 장월로8길 28 (장위동),장위컴퓨터크리닝,204280.831922699    ,456430.347685236    
서울특별시 성북구 성북동 184-79,서울특별시 성북구 성북로 28 (성북동),백옥세탁소,200309.111833822    ,454243.06760397     
서울특별시 성북구 성북동 58-1,서울특별시 성북구 성북로14길 9 (성북동),한미사,200037.119597261    ,454618.002836724    
서울특별시 성북구 보문동6가 441 아남아파트(1층) 상가동 107호,"서울특별시 성북구 보문사길 112 (보문동6가, 아남아파트(1층) 상가동 107호)",장미크리닝,201462.785807172    ,453216.017583561    
