기관명,병원분류명,주소,병원경도,병원위도
김군중한의원,한의원,"서울특별시 서초구 신반포로23길 30 (잠원동,1층)",127.003544417873,37.5087856196011
강원한의원,한의원,"서울특별시 강남구 언주로152길 14, 로데오빌딩 5층 (신사동)",127.034849358762,37.5226263457201
건강한가정의학과의원,의원,서울특별시 강서구 강서로16길 32 (화곡동),126.8481260381,37.5330797875
굿모닝의원,의원,서울특별시 양천구 목동중앙본로 113,126.8708498566,37.54568477750002
굿모닝의원,의원,서울특별시 구로구 개봉로3길 76 (개봉동),126.8520886071,37.4862633403119
강피부과의원,의원,"서울특별시 관악구 은천로 109, 2층 201호 (봉천동, 한독빌딩)",126.94755588224808,37.48700372780386
S다인치과의원,치과의원,"서울특별시 강북구 도봉로 320 (번동, 제이제이타워)",127.024573158474,37.6365305112437
S아이니의원,의원,"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",126.893428188402,37.4903802355667
The원치과의원,치과의원,"서울특별시 송파구 마천로 74, 2층 (오금동, 남성빌딩)",127.128416161314,37.5074521211115
UC성심치과의원,치과의원,"서울특별시 중랑구 용마산로 503, 5층 (망우동)",127.099920402648,37.5961113613677
W(더블유)치과의원,치과의원,"서울특별시 노원구 노해로 466 (상계동, NH농협증권)",127.059886757947,37.6538414472404
갸름한성형외과의원,의원,"서울특별시 강남구 강남대로 390, 21층 (역삼동)",127.02857918568112,37.49784022341722
WE(더블유이)의원,의원,"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",126.903933458671,37.5331572915693
W서울화이트치과의원,치과의원,"서울특별시 노원구 월계로45길 21, 205호 (월계동, 롯데캐슬루나상가)",127.051276377642,37.6256184658306
굿이너프정신건강의학과의원,의원,"서울특별시 강남구 학동로 335, 다른타워 8층 (논현동)",127.039650741179,37.5169881563922
W치과의원,치과의원,"서울특별시 송파구 중대로 146, 3층 (가락동)",127.124018921314,37.4951479148918
김문성이비인후과의원,의원,"서울특별시 서대문구 증가로 122, 202호 (남가좌동)",126.924277064509,37.5773686267038
계룡한의원,한의원,"서울특별시 마포구 만리재로 133, 4층 (아현동, 계룡빌딩)",126.96213863784642,37.55165988599335
경희무릅나무한의원,한의원,"서울특별시 강남구 테헤란로63길 9, 201,202,203호 (삼성동)",127.05004373481827,37.50575472338361
경희우소홍한의원,한의원,"서울특별시 영등포구 국제금융로 78, 303호 (여의도동, 홍우빌딩)",126.9312992889,37.5208713999
권내과의원,의원,서울특별시 마포구 숭문길 221  (대흥동),126.946428030039,37.5562440264362
굿웰스의원,의원,"서울특별시 서대문구 통일로 440, 2층 1호 (홍제동)",126.945087444151,37.5883577541129
경이비인후과의원,의원,"서울특별시 광진구 광나루로 608, (구의동)",127.09528333333331,37.54118611111111
경희호강한의원,한의원,서울특별시 관악구 조원로 132 (신림동),126.9169226113,37.4852544287
교대화인마취통증의학과의원,의원,"서울특별시 서초구 서초중앙로 147, 3층 (서초동, 서초법조타운)",127.013058470945,37.4948756733211
공릉치과의원,치과의원,서울특별시 노원구 동일로 1045 (공릉동),127.073411876507,37.6234059297882
YK(와이케이)안과의원,의원,"서울특별시 강남구 삼성로 651, 5층 502,503,504호 (삼성동, 래미안 라클래시)",127.050036535644,37.5183513056476
e-바른치과의원,치과의원,"서울특별시 강서구 강서로 163, 3층 (화곡동, 콤마빌딩)",126.840345915343,37.5412413213065
김석희내과의원,의원,서울특별시 광진구 광나루로 366  (화양동),127.070330227656,37.5478668543136
e-서울이비인후과의원,의원,"서울특별시 구로구 디지털로 288, 대륭포스트타워1차 211호 (구로동)",126.895502765348,37.4835695693308
e-스타치과의원,치과의원,"서울특별시 서대문구 신촌로 79, 3층 (창천동)",126.935189216315,37.556000258611
